X,Y,OBJECTID,OrganizationId,ESDCode,ESDNum,ESDName,LEACode,LEAName,ShortName,PhysicalAddress,MailingAddress,AdministratorName,AdministratorEmail,Phone,Website,County,Counties,CongressionalDistricts,LegislativeDistricts,Type,TransportationRegion
1265302.42637981,680108.498796441,4801,100080,17801,121,Puget Sound Educational Service District 121,17216,Enumclaw School District,Enumclaw,"2929 MCDOUGALL AVE, ENUMCLAW, Washington, 98022-7499","2929 MCDOUGALL AVE, ENUMCLAW, Washington, 98022-7499",Shaun  Carey,shaun_carey@enumclaw.wednet.edu,(360)802-7102,https://www.enumclaw.wednet.edu/,King,King,8,"5, 31",Public School District,2
2200748.4910734,1090681.77411349,4802,100109,32801,101,Educational Service District 101,10070,Inchelium School District,Inchelium,"2 HORNET AVE, INCHELIUM, Washington, 99138-0285","PO BOX 285, INCHELIUM, Washington, 99138-0285",Kim Alan Spacek,kspacek@inchelium.net,(509)722-6181 Ext.100,https://www.inchelium.wednet.edu/,Ferry,Ferry,5,7,Public School District,5
1030713.22060166,306156.295943775,4803,100115,06801,112,Educational Service District 112,08458,Kelso School District,Kelso,"601 CRAWFORD ST, KELSO, Washington, 98626-4398","601 CRAWFORD ST, KELSO, Washington, 98626-4398",Mary Beth  Tack,marybeth.tack@kelsosd.org,(360)501-1927,https://www.kelso.wednet.edu,Cowlitz,Cowlitz,3,"19, 20",Public School District,1
812777.748505154,617280.567412492,4804,100010,34801,113,Capital Region ESD 113,14005,Aberdeen School District,Aberdeen,"216 N G ST, ABERDEEN, Washington, 98520-5297","216 N G ST, ABERDEEN, Washington, 98520-5297",Alicia  Henderson,ahenderson@asd5.org,(360)538-2002,https://www.asd5.org,Grays Harbor,Grays Harbor,6,19,Public School District,1
997359.783574627,484942.178197026,4805,100011,34801,113,Capital Region ESD 113,21226,Adna School District,Adna,"179 DIECKMAN RD, ADNA, Washington, 98522-0118","PO BOX 118, ADNA, Washington, 98522-0118",James   Forrest,forrestj@adnaschools.org,(360)748-0362,https://www.adnaschools.org,Lewis,Lewis,3,20,Public School District,1
2024254.51988766,869623.788760567,4806,100012,32801,101,Educational Service District 101,22017,Almira School District,Almira,"310 S 3RD ST, ALMIRA, Washington, 99103-0217","PO BOX 217, ALMIRA, Washington, 99103-0217",Shauna L Schmerer,sschmerer@almirasd.org,(509)639-2414,http://www.achsd.org/,Lincoln,"Grant, Lincoln","4, 5",13,Public School District,5
1126727.57347938,1163469.11179012,4807,100013,29801,189,Northwest Educational Service District 189,29103,Anacortes School District,Anacortes,"2200 M AVE, ANACORTES, Washington, 98221-3794","2200 M AVE, ANACORTES, Washington, 98221-3794",Justin  Irish,jirish@asd103.org,(360)503-1210,http://www.asd103.org/,Skagit,Skagit,2,"10, 40",Public School District,3
1244680.43297441,1048042.58915172,4808,100014,29801,189,Northwest Educational Service District 189,31016,Arlington School District,Arlington,"315 N FRENCH AVE, ARLINGTON, Washington, 98223-1317","315 N FRENCH AVE, ARLINGTON, Washington, 98223-1317",Chrys  Sweeting,csweeting@asd.wednet.edu,(360)618-6200,https://www.asd.wednet.edu,Snohomish,Snohomish,"1, 2",39,Public School District,3
2511463.58517386,386345.3874195,4809,100015,11801,123,Educational Service District 123,02420,Asotin-Anatone School District,Asotin-Anatone,"314 FIRST ST, ASOTIN, Washington, 99402-0489","PO BOX 489, ASOTIN, Washington, 99402-0489",Dale  Bonfield,dbonfield@aasd.wednet.edu,(509)243-1100,https://www.aasd.wednet.edu/,Asotin,Asotin,5,9,Public School District,5
1214478.52317112,726212.136554251,4810,100016,17801,121,Puget Sound Educational Service District 121,17408,Auburn School District,Auburn,"915 4TH ST NE, AUBURN, Washington, 98002-4452","915 4TH ST NE, AUBURN, Washington, 98002-4452",Alan  Spicciati,aspicciati@auburn.wednet.edu,(253)931-4914,https://www.auburn.wednet.edu,King,"King, Pierce",8,"30, 31, 47",Public School District,2
