"Nces Id","School Level","School District","School Name","School County",Phone,Address,City,State,Zip,"School Type","State Fips","Low Grade","High Grade","Students Ug","Students Prek","Students K","Students 1","Students 2","Students 3","Students 4","Students 5","Students 6","Students 7","Students 8","Students 9","Students 10","Students 11","Students 12","Operational Status",Latitude,Longitude,"State School Id","State District Id","Total Male","Total Female","Total American Indian Alaskan","Total Asian","Total Black","Total Hispanic","Total White","Free Lunch Eligible","Reduce Price Lunch Eligible","Free & Reduced Lunch Total","Student Teacher Ratio","Full Time Equivalent Teachers","Local Education Agency Id","Local School Id","Mailing Address","Mailing City","Mailing State","Mailing Zip","Mailing Zip4",Zip4,"Union Identification Number","Urban Locale Code","Ansi Fips County Number","District Code 113","District Code 112","Bureau Of Indian","Offered Ug","Offered Prek","Offered K","Offered 1","Offered 2","Offered 3","Offered 4","Offered 5","Offered 6","Offered 7","Offered 8","Offered 9","Offered 10","Offered 11","Offered 12","Title 1 Status","Title 1 Eligible","Title 1 School Wide","Magnet School","Charter School","Shared Time School","Count Free Lunch","Count Reduced Lunch","Total Free & Reduced Lunch","Total Pacific","Total 2race","Total Students"
530594002628,"Combined or Ungraded","Oak Harbor School District",Homeconnection,"Island County","(360) 279-8826","350 S. Oak Harbor St.","Oak Harbor",WA,98277,"Other/Alternative school",53,KG,12,,,22,26,23,21,21,28,19,19,38,13,20,14,24,"Currently operational",48.2958,-122.657,15201-1758,15201,145,143,0,5,4,18,248,20,22,42,57.6,5,5305940,02628,"350 S. Oak Harbor St.","Oak Harbor",WA,98277,,,0,,53029,,,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,,,No,,20,22,42,0,13,288
530819002050,"Combined or Ungraded","South Whidbey School District","South Whidbey Academy","Island County","(360) 321-6808","5476 Maxwelton Road",Langley,WA,98260,"Other/Alternative school",53,KG,12,,,7,5,7,4,4,5,4,9,7,3,10,14,21,"Currently operational",48.0129,-122.412,15206-1682,15206,46,54,0,0,1,8,88,37,6,43,19.7,5.07,5308190,02050,"5476 Maxwelton Road",Langley,WA,98260,,,0,,53029,,,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,,,No,,37,6,43,0,3,100
530000103038,"Combined or Ungraded","Enumclaw School District","Special Ed School","King County","(360) 802-7133","2929 McDougall Avenue",Enumclaw,WA,98022,"Special education school",53,PK,12,,21,0,1,0,1,2,1,0,1,0,0,0,0,0,"Currently operational",47.1882,-122.007,17216-1523,17216,21,6,0,1,0,2,22,15,0,15,27,1,5300001,03038,"2929 McDougall Avenue",Enumclaw,WA,98022,,,0,,53033,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,No,,15,0,15,0,2,27
530030000033,"Combined or Ungraded","Auburn School District","Cascade Middle School","King County","(253) 931-4995","1015 24th St NE",Auburn,WA,98002,"Regular school",53,06,09,,,,,,,,,242,262,246,1,,,,"Currently operational",47.3293,-122.215,17408-2394,17408,381,370,4,55,78,177,344,401,86,487,19.2,39.04,5300300,00033,"1015 24th St NE",Auburn,WA,98002,2430,2430,0,,53033,,,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,,No,,,No,,401,86,487,37,56,751
530030002904,"Combined or Ungraded","Auburn School District","Special Ed School","King County","(253) 931-4927","502 4th St NE",Auburn,WA,98002,"Special education school",53,PK,12,,104,8,5,4,1,1,2,0,3,1,0,0,0,1,"Currently operational",47.3109,-122.223,17408-1915,17408,85,45,4,5,7,37,58,42,3,45,43.3,3,5300300,02904,"502 4th St NE",Auburn,WA,98002,5020,5020,0,,53033,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,,,No,,42,3,45,3,16,130
530032103424,"Combined or Ungraded","South Seattle Community College (CC District #6) School District","Sscc High School Completion","King County","(206) 768-6827","6000 16th Ave SW",Seattle,WA,98106,"Regular school",53,09,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Currently operational",47.5472,-122.352,17946-5962,17946,0,0,0,0,0,0,0,0,0,0,,,5300321,03424,"6000 16th Ave SW",Seattle,WA,98106,1499,1499,0,,53033,,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,Not,,,No,,0,0,0,0,0,0
530032503431,"Combined or Ungraded","Renton Technical College School District","Renton Tech College High School Completion","King County","(425) 235-2352","3000 NE 4th St",Renton,WA,98056,"Regular school",53,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Currently operational",47.4898,-122.176,17941-5955,17941,0,0,0,0,0,0,0,0,0,0,,,5300325,03431,"3000 NE 4th St",Renton,WA,98056,4195,4195,0,,53033,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,Not,,,No,,0,0,0,0,0,0
530032603395,"Combined or Ungraded","Green River Community College School District","Green River Community College","King County","(253) 833-9111","12401 SE 320th St",Auburn,WA,98092,"Regular school",53,09,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Currently operational",47.3135,-122.179,17935-5952,17935,0,0,0,0,0,0,0,0,0,0,,,5300326,03395,"12401 SE 320th St",Auburn,WA,98092,,3699,0,,53033,,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,Not,,,No,,0,0,0,0,0,0
530039003149,"Combined or Ungraded","Bellevue School District","International School","King County","(425) 456-6500","445 128th Ave SE",Bellevue,WA,98005,"Other/Alternative school",53,06,12,,,,,,,,,90,87,90,89,81,68,70,"Currently operational",47.6041,-122.17,17405-3522,17405,272,303,1,208,4,14,289,21,12,33,19.4,29.6,5300390,03149,"445 128th Ave SE",Bellevue,WA,98005,,,0,,53033,,,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,,,No,,21,12,33,0,59,575
530039003354,"Combined or Ungraded","Bellevue School District","Bellevue Big Picture School","King County","(425) 456-7800","14844 SE 22nd Street",Bellevue,WA,98007,"Other/Alternative school",53,06,12,,,,,,,,,76,80,77,43,49,8,12,"Currently operational",47.5919,-122.141,17405-5240,17405,193,152,0,70,16,22,207,38,20,58,14.1,24.4,5300390,03354,"14844 SE 22nd Street",Bellevue,WA,98007,,,0,,53033,,,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,,,No,,38,20,58,0,30,345
